,Country,invitation,visa,reg_all,reg_location,reg_residence,base,tourism,study,work,personal,other,reg_out,des_rvp,rvp,des_pmg,pmg,get_citi,CountryEng
6,Американское Самоа,0,0,54,0,54,54,19,3,5,14,13,51,0,0,0,0,0,
9,Антарктида,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Антигуа и Барбуда,4,11,32,1,31,23,4,14,2,1,2,11,1,0,0,0,0,
16,Багамы,4,1,1244,7,1237,1235,6,2,502,713,12,10,0,0,0,0,0,
24,Бермуды,1,0,18,7,11,2,1,0,0,1,0,4,0,0,0,0,1,
27,"Бонэйр, Синт-Эстатиус и Саба",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,Британская территория в Индийском океане,0,0,23,0,23,23,12,3,1,1,6,17,0,0,0,0,0,
32,Бруней-Даруссалам,4,7,171,0,171,170,55,2,34,55,24,144,0,0,0,0,0,
33,Буркина-Фасо,31,14,42,0,42,29,3,8,4,6,8,16,0,0,1,1,0,
36,Вануату,8,0,13,0,13,13,9,0,1,0,3,7,0,0,0,0,0,
37,Ватикан (Папский Престол),1,0,4,1,3,3,1,0,0,1,1,73,0,0,0,0,0,
41,"Виргинские острова, Британские",0,0,16,0,16,16,3,1,1,0,11,6,0,0,0,0,0,
42,"Виргинские острова, США",0,0,46,0,46,34,7,1,9,4,13,33,0,0,0,0,0,
46,Гайана,2,16,75,5,70,51,17,25,1,7,1,46,0,3,1,2,0,
54,Гернси,0,0,4,0,4,4,1,0,0,2,1,4,0,0,0,0,0,
64,Джерси,1,0,2,0,2,2,2,0,0,0,0,11,0,0,0,0,0,
65,Джибути,25,63,88,0,88,55,7,44,0,0,4,65,0,0,0,0,0,
83,Кабо-Верде,11,53,195,4,191,135,45,38,16,32,4,100,1,13,0,2,0,
91,Северный Кипр (ТРСК),0,0,802,0,802,715,1,0,664,48,2,8,0,1,0,0,0,
95,Кокосовые (Килинг) острова,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
97,Коморы,39,21,37,2,35,23,7,13,0,2,1,24,1,0,2,0,1,
102,"Косово, Республика",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
107,Кюрасао,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,Острова Кука,0,0,16,2,14,13,0,0,2,7,4,10,0,1,0,0,0,
121,Майотта,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,Макао,2,3,2471,2,2469,2415,2196,0,1,207,11,2019,0,0,0,0,0,
127,Малые Тихоокеанские Отдаленные острова Соединенных Штатов,0,0,2,0,2,2,0,0,1,0,1,1,0,0,0,0,0,
131,Мартиника,0,0,84,0,84,12,1,4,0,3,4,0,0,0,0,0,0,
132,Маршалловы Острова,0,0,1,0,1,1,0,0,0,1,0,12,0,0,0,0,0,
134,"Микронезия, Федеративные штаты",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
139,Монтсеррат,0,0,5,0,5,5,1,0,1,3,0,2,0,1,0,0,0,
140,Мьянма,337,753,2899,0,2899,2429,140,1987,95,23,184,620,1,3,0,1,1,
141,Остров Мэн,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,Нагорно-Карабахская Республика,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,Науру,0,0,10,0,10,10,0,7,0,0,3,2,0,0,0,0,0,
150,Ниуэ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
152,Новая Каледония,1,0,6,1,5,5,2,1,0,2,0,9,0,0,0,0,0,
154,Остров Норфолк,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,
155,Объединенные Арабские Эмираты,231,30,986,0,986,985,603,15,88,145,134,687,0,1,0,1,1,
157,Остров Буве,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,Острова Кайман,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,Палау,0,0,2,0,2,2,1,0,1,0,0,7,0,0,1,0,0,
163,Папуа — Новая Гвинея,1,0,4,0,4,4,3,0,0,0,1,3,0,0,0,0,0,
166,Питкэрн,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,1,0,
169,Приднестровская Молдавская Республика,0,1,349,4,345,345,0,5,67,267,6,264,0,8,36,1,0,
170,Пуэрто-Рико,0,0,7,0,7,7,3,0,0,3,1,3,0,0,0,0,0,
171,Реюньон,0,0,9,0,9,9,5,0,4,0,0,1,0,0,0,0,0,
172,Остров Рождества,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,Руанда,17,125,242,1,241,168,15,113,1,3,36,165,0,2,1,3,0,
175,Эль-Сальвадор,14,51,224,0,224,189,122,50,2,8,7,143,0,1,0,1,0,
176,Самоа,1,0,8,0,8,8,5,0,0,3,0,4,0,3,0,0,0,
178,Сан-Томе и Принсипи,2,8,14,0,14,6,1,5,0,0,0,9,0,0,0,0,0,
180,Свазиленд,57,88,182,0,182,106,13,89,2,1,1,123,0,0,0,0,0,
181,"Святая Елена, Остров Вознесения, Тристан-да-Кунья",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
182,Северные Марианские острова,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,Сейшелы,8,12,39,0,39,37,23,6,0,6,2,36,0,0,0,2,0,
184,Сен-Бартелеми,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
185,Сен-Мартен,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
186,Сен-Мартен (нидерландская часть),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,Сен-Пьер и Микелон,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
189,Сент-Винсент и Гренадины,1,17,56,0,56,37,5,16,0,5,11,11,0,0,0,0,0,
190,Сент-Киттс и Невис,15,1,41,0,41,39,27,1,2,0,9,33,1,2,0,0,0,
191,Сент-Люсия,1,0,2,0,2,2,0,0,0,1,1,2,0,0,0,0,0,
192,Сент-Пьер и Микелон,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199,Соломоновы Острова,0,0,22,6,16,16,6,1,0,5,4,65,0,0,0,0,0,
202,Южный Судан,7,11,7,1,6,6,1,2,0,0,3,4,0,0,0,1,0,
203,Суринам,1,0,10,0,10,10,3,0,0,2,5,9,0,0,0,0,0,
204,Сьерра-Леоне,226,78,5440,5,5435,5372,11,68,5264,17,12,78,0,23,0,4,1,
208,"Танзания, Объединенная Республика",64,138,364,3,361,244,55,135,1,16,37,211,3,8,0,3,1,
209,Острова Теркс и Кайкос,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
210,Тимор-Лесте,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,
212,Токелау,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
213,Тонга,3,2,6,0,6,5,0,0,5,0,0,5,0,0,0,0,0,
214,Тринидад и Тобаго,46,9,158,1,157,127,12,1,82,10,22,106,0,0,0,0,0,
215,Тувалу,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
222,Уоллис и Футуна,0,0,22,2,20,20,3,0,14,1,2,1,0,0,0,0,0,
224,Фарерские Острова,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
228,Фолклендские Острова (Мальвинские),0,0,2,0,2,0,0,0,0,0,0,22,0,6,0,0,0,
230,Французская Гвиана,0,2,8,2,6,4,3,0,1,0,0,4,0,0,0,0,0,
231,Французская Полинезия,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
232,Французские Южные Территории,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
233,Остров Херд и острова Макдональд,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
235,Центрально-Африканская Республика,13,18,31,0,31,19,2,10,0,1,6,15,0,0,0,0,0,
242,Шпицберген и Ян Майен,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,
245,Экваториальная Гвинея,72,406,614,2,612,236,1,222,0,7,6,417,1,2,0,0,0,
246,Эландские острова,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
250,Южная Джорджия и Южные Сандвичевы Острова,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
